"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"163249 (2002 GT)",,60200,0.3348,1.344,6.97,201.74,135.14,166.98,0.6323,0.016
"163348 (2002 NN4)",0.735,60200,0.4345,0.8758,5.42,259.43,222.21,86.77,1.203,0.00668
"163364 (2002 OD20)",,60200,0.3690,1.365,4.19,259.86,275.33,196.97,0.6179,0.026
"163373 (2002 PZ39)",,60200,0.5467,1.469,1.67,328.84,260.04,334.73,0.5536,0.00281
"163683 (2002 YP2)",,60200,0.6882,1.577,20.63,52.46,281.42,192.49,0.4976,0.0206
"163697 (2003 EF54)",,60200,0.4728,1.609,2.95,268.48,353.71,343.35,0.4829,0.042
"163818 (2003 RX7)",0.386,60200,0.3544,1.229,10.39,241.02,245.90,139.41,0.7232,0.0268
"163899 (2003 SD220)",0.791,60200,0.2099,0.8276,8.54,273.74,326.95,324.84,1.309,0.0187
"164121 (2003 YT1)",1.717,60200,0.2919,1.11,44.06,38.32,91.04,257.89,0.8432,0.00148
"164202 (2004 EW)",,60200,0.2791,0.988,4.67,342.91,56.19,38.32,1.004,0.0233
"164207 (2004 GU9)",0.163,60200,0.1360,1.001,13.65,38.44,279.60,29.98,0.9836,0.0021
"164211 (2004 JA27)",,60200,0.4232,1.666,2.26,67.76,270.24,305.60,0.4582,0.0327
"164216 (2004 OT11)",,60200,0.5648,2.152,19.94,295.10,326.33,42.54,0.3122,0.0164
"164400 (2005 GN59)",,60200,0.4680,1.657,6.63,218.97,203.02,344.84,0.4622,0.0499
"168318 (1989 DA)",0.9,60200,0.5420,2.164,6.49,349.13,139.74,319.07,0.3097,0.0445
"170086 (2002 XR14)",,60200,0.6260,1.906,2.13,75.48,120.48,279.36,0.3747,0.0114
"170903 (2004 WS2)",,60200,0.6034,1.336,8.27,87.68,115.44,12.72,0.6382,0.0297
"171576 (1999 VP11)",,60200,0.5835,1.086,17.28,208.08,61.73,122.79,0.8711,0.00229
"171839 (2001 JM1)",,60200,0.3108,1.461,17.08,226.65,321.97,255.53,0.5581,0.0453
"172678 (2003 YM137)",,60200,0.7037,2.57,2.81,74.16,130.55,230.97,0.2393,0.015
"173561 (2000 YV137)",,60200,0.3110,1.448,28.00,137.23,211.38,104.04,0.5657,0.019
"175706 (1996 FG3)",1.196,60200,0.3501,1.055,1.97,299.52,24.07,28.85,0.9095,0.0281
"175729 (1998 BB10)",,60200,0.4247,1.271,11.54,124.28,259.24,5.61,0.6875,0.0232
"177049 (2003 EE16)",,60200,0.6144,1.418,0.65,127.22,259.50,131.61,0.5839,0.000107
"177614 (2004 HK33)",,60200,0.5206,1.889,5.44,104.71,221.54,142.49,0.3797,0.00897
"179806 (2002 TD66)",,60200,0.5345,1.858,4.93,335.55,125.85,64.81,0.3892,0.00521
"180186 (2003 QZ30)",,60200,0.6315,2.422,8.57,178.06,243.06,94.23,0.2616,0.0453
"184266 (2004 VW14)",,60200,0.5975,2.121,3.83,100.83,42.79,12.57,0.319,0.00787
"185851 (2000 DP107)",0.863,60200,0.3765,1.365,8.67,358.66,289.79,175.00,0.618,0.0147
"186844 (2004 GA1)",,60200,0.6723,2.431,7.77,261.47,54.69,10.80,0.26,0.0175
"187040 (2005 JS108)",0.430,60200,0.3226,1.356,6.04,110.85,243.91,138.84,0.624,0.019
"189040 (2000 MU1)",,60200,0.3825,1.373,13.09,130.05,63.74,199.56,0.6129,0.00951
"189865 (2003 NC)",,60200,0.8055,1.406,21.57,288.39,224.33,78.72,0.5915,0.0375
"192559 (1998 VO)",,60200,0.2265,1.075,10.06,228.12,75.96,188.29,0.8847,0.0272
"192563 (1998 WZ6)",,60200,0.4079,1.452,24.76,68.68,110.76,0.90,0.5633,0.0339
"192642 (1999 RD32)",,60200,0.7697,2.642,6.80,309.93,299.99,233.49,0.2295,0.05
"194006 (2001 SG10)",,60200,0.4243,1.449,4.26,184.94,101.60,248.79,0.5653,0.0172
"194268 (2001 UY4)",1.244,60200,0.7874,1.453,5.44,160.71,107.79,209.26,0.563,0.0263
"196068 (2002 TW55)",,60200,0.6644,2.118,59.37,33.55,251.12,317.35,0.3199,0.0286
"196625 (2003 RM10)",,60200,0.5913,1.847,13.73,341.32,287.26,10.07,0.3925,0.00587
"197588 (2004 HE12)",,60200,0.4659,1.845,42.71,338.04,162.21,272.21,0.3931,0.00907
"199003 (2005 WJ56)",,60200,0.1520,0.9592,21.61,288.02,297.60,147.38,1.049,0.0217
"199145 (2005 YY128)",,60200,0.7314,1.65,3.76,300.19,314.91,75.51,0.4652,0.0294
"199801 (2007 AE12)",,60200,0.5693,1.685,2.29,245.44,86.99,308.06,0.4508,0.00649
"200840 (2001 XN254)",,60200,0.5608,2.321,1.94,264.07,278.75,20.72,0.2787,0.0394
